ts,batch,event,file,rows_before,rows_after,detail
2026-03-31 16:34:46,GEN,SEASON_2425_GENERATED,season_2024_25.json,,10515,
2026-03-31 16:40:39,GEN,SEASON_2526_GENERATED,season_2025_26.json,,16122,
2026-03-31 16:48:37,B0,BATCH_START,,,,
2026-03-31 16:48:49,B0,BOXSCORES_FETCHED,,,,163 rows for 2026-03-30
2026-03-31 16:49:03,B0,BATCH_SUMMARY,,,,"plays_graded=89, wins=49, losses=40, dnp=16"
2026-03-31 16:49:06,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24137,,
2026-03-31 16:49:38,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV12.0/source-files/nba_gamelogs_2025_26.csv,24137,24300,APPEND_GAMELOGS
2026-03-31 16:50:06,B0,ROLLING_UPDATE_COMPLETE,,,,date=2026-03-30 refreshed=89 dnp=16 insuf=0
2026-03-31 16:59:54,B0,BATCH_COMPLETE,,,,
2026-03-31 17:00:35,B1,BATCH_START,,,,2026-03-31
2026-03-31 17:00:44,B1,PROPS_FETCHED,,,,85 props
2026-03-31 17:00:57,B1,EXCEL_UPDATED,,,,props=16207 spreads=1385
2026-03-31 17:01:14,B1,PREDICTIONS,,,,84 plays
2026-03-31 17:01:14,B1,BATCH_SUMMARY,,,,"props_fetched=84, plays_added=84"
2026-03-31 17:01:14,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV12.0/data/today.json,0,84,SAVE_TODAY
